Product;;
Product;;
Product;Yield;Error
Cd126;4.9505E-4;1.2423E-4
Cd127;4.8614E-4;8.5838E-5
Cd128;6.2826E-4;2.2666E-4
Cd129;1.0247E-4;3.5031E-5
Cd129m;2.8668E-4;9.517E-5
Cd130;1.9134E-4;9.2264E-5
Cd131;2.0483E-5;7.3479E-6
Cd132;4.8797E-6;1.7077E-6
In113;3.5796E-6;7.9176E-7
In115;3.6413E-4;1.9355E-5
In115m;3.6496E-4;1.9399E-5
In117;2.9267E-4;1.998E-4
In117m;3.4684E-4;2.3689E-4
In118;3.4848E-4;3.3942E-4
In118m;7.3947E-10;8.6901E-10
In118n;3.9977E-10;5.3778E-10
In119;8.2128E-5;5.4569E-5
In119m;2.045E-4;1.3174E-4
In120;2.3997E-4;1.2407E-4
In120m;1.7987E-12;1.3878E-12
In120n;1.7987E-12;1.3878E-12
In121;1.2453E-4;1.9849E-5
In121m;7.6633E-5;1.4181E-5
In122;1.831E-4;1.1789E-4
In122m;8.4471E-6;7.5871E-6
In122n;8.4471E-6;7.5871E-6
In123;9.4075E-5;5.2271E-5
In123m;4.7698E-5;2.8402E-5
In124;2.2304E-4;1.6427E-4
In124m;2.3309E-5;2.2768E-5
In125;1.4922E-4;2.8367E-5
In125m;2.8918E-5;6.9908E-6
In126;6.1554E-4;1.4352E-4
In126m;1.2991E-4;4.6827E-5
In127;5.4786E-4;7.7422E-5
In127m;5.9645E-4;8.071E-5
In128;0.001143;3.2522E-4
In128m;7.731E-4;2.5001E-4
In128n;5.5496E-4;1.917E-4
In129;0.0021055;3.302E-4
In129m;4.7135E-4;9.4294E-5
In130;7.7716E-4;3.3067E-4
In130m;8.6169E-4;3.8973E-4
In130n;0.0012003;5.3919E-4
In131;8.8897E-4;2.6239E-4
In131m;8.6337E-4;2.6243E-4
In131n;8.6045E-4;2.6244E-4
In132;4.6596E-4;1.5936E-4
In133;9.6211E-5;2.9319E-5
In133m;1.6125E-5;5.7826E-6
In134;6.1081E-6;2.2925E-6
In135;5.9128E-9;2.2116E-9
Sn115;1.8248E-5;1.8351E-6
Sn117;4.7615E-4;3.2361E-4
Sn117m;9.9717E-7;6.9569E-7
Sn118;3.4848E-4;3.3942E-4
Sn119;2.7518E-4;1.7507E-4
Sn119m;7.4195E-5;4.9459E-5
Sn120;2.3997E-4;1.2407E-4
Sn121;1.9708E-4;2.9367E-5
Sn121m;1.4107E-5;2.8697E-6
Sn122;1.9999E-4;1.286E-4
Sn123;7.1725E-6;4.4801E-6
Sn123m;1.346E-4;7.3376E-5
Sn124;2.5277E-4;1.8553E-4
Sn125;4.8638E-5;1.1463E-5
Sn125m;1.613E-4;2.9992E-5
Sn126;9.3145E-4;2.0588E-4
Sn127;4.3329E-4;6.0359E-5
Sn127m;0.0010052;7.196E-5
Sn128;0.002951;7.5255E-4
Sn128m;0.0014717;4.0479E-4
Sn129;0.0032664;2.8426E-4
Sn129m;0.0027806;2.9012E-4
Sn130;0.0054354;0.0020494
Sn130m;0.01111;0.0041253
Sn131;0.0076942;6.2103E-4
Sn131m;0.017704;0.0010063
Sn132;0.029117;0.001868
Sn133;0.0095707;0.0026455
Sn134;0.0027102;9.6866E-4
Sn135;3.685E-4;1.3705E-4
Sn136;5.7117E-5;2.0776E-5
Sn137;7.4453E-6;2.6E-6
Sb121;2.0024E-4;2.9836E-5
Sb123;1.4177E-4;7.7266E-5
Sb125;2.0994E-4;3.842E-5
Sb126;5.502E-10;2.201E-10
Sb126m;6.4362E-10;2.3014E-10
Sb126n;3.5624E-10;1.6115E-10
Sb127;0.0014584;8.1671E-5
Sb128;0.0029819;7.604E-4
Sb128m;4.1216E-5;1.8237E-5
Sb129;0.0050144;2.9873E-4
Sb129m;0.0014896;1.8909E-4
Sb130;0.01149;0.0042426
Sb130m;0.0060549;0.0022835
Sb131;0.032984;8.9134E-4
Sb132;0.037205;0.0017024
Sb132m;0.0071609;0.0014501
Sb133;0.05299;0.0022983
Sb134;0.0068316;0.0014953
Sb134m;0.012423;0.003051
Sb135;0.011565;0.0030688
Sb136;0.0030469;0.0010348
Sb137;9.5643E-4;3.2653E-4
Sb138;8.0605E-5;2.8142E-5
Sb139;2.4581E-5;8.7949E-6
Te125;2.0994E-4;3.842E-5
Te125m;4.6978E-5;9.6097E-6
Te126;1.1037E-9;3.4298E-10
Te127;0.0014526;8.1352E-5
Te127m;2.4033E-4;2.6235E-5
Te128;0.0030216;7.7052E-4
Te129;0.0055151;3.1344E-4
Te129m;0.0020688;1.7871E-4
Te130;0.01758;0.0064658
Te131;0.031064;8.6041E-4
Te131m;0.0029336;2.5032E-4
Te132;0.047815;0.0018141
Te133;0.051147;0.0022137
Te133m;0.019888;0.002276
Te134;0.067861;0.006231
Te135;0.057579;0.0022975
Te136;0.05272;0.0046791
Te137;0.023011;0.0032533
Te138;0.013724;0.0030237
Te139;0.0022376;7.5411E-4
Te140;8.8202E-4;3.357E-4
Te141;9.9928E-5;3.466E-5
Te142;2.045E-5;6.8071E-6
I127;0.0014584;8.1671E-5
I129;0.0062806;3.5134E-4
I131;0.033381;9.013E-4
I132;0.047818;0.0018141
I132m;1.5277E-6;5.3468E-7
I133;0.067671;0.0024221
I133m;4.9437E-5;1.7699E-5
I134;0.068408;0.006231
I134m;2.5983E-4;9.6449E-5
I135;0.064128;0.0024408
I136;0.056842;0.0049662
I136m;0.010641;0.0026278
I137;0.05432;0.0015488
I138;0.033064;0.0029078
I139;0.026941;0.0031545
I140;0.0095156;0.0026462
I141;0.0060956;0.0018395
I142;9.5289E-4;3.0455E-4
I143;2.4289E-4;8.5016E-5
I144;2.4619E-5;9.4101E-6
Xe131;0.033381;9.013E-4
Xe131m;3.6259E-4;3.1148E-5
Xe132;0.047818;0.0018141
Xe133;0.067671;0.0024221
Xe133m;0.0019262;1.7258E-4
Xe134;0.06842;0.006231
Xe134m;1.0445E-5;2.8688E-6
Xe135;0.064164;0.0024409
Xe135m;0.01066;9.3981E-4
Xe136;0.072767;0.0058996
Xe137;0.06002;0.0014016
Xe138;0.059968;0.0019192
Xe139;0.056555;0.0026815
Xe140;0.057558;7.7317E-4
Xe141;0.042506;0.0028082
Xe142;0.027814;0.0020469
Xe143;0.0093738;0.0024558
Xe144;0.0042671;0.0015419
Xe145;7.9081E-4;2.9396E-4
Xe146;2.104E-4;7.8745E-5
Xe147;1.8732E-5;6.4237E-6
Cs133;0.067671;0.0024221
Cs135;0.064228;0.0024431
Cs136;6.9603E-7;2.0166E-7
Cs136m;3.6659E-7;1.3343E-7
Cs137;0.060045;0.0014017
Cs138;0.060184;0.0019259
Cs138m;1.5352E-4;5.31E-5
Cs139;0.057749;0.0027225
Cs140;0.060266;7.8052E-4
Cs141;0.056983;0.0033107
Cs142;0.04351;0.0019336
Cs143;0.03496;0.0014775
Cs144;0.013598;0.0018743
Cs144m;0.0063058;0.0015848
Cs145;0.010499;0.0023698
Cs146;0.0033009;0.0010643
Cs147;0.0014297;4.6017E-4
Cs148;2.5486E-4;8.4273E-5
Cs149;2.6109E-5;9.2915E-6
Cs150;7.35E-9;2.8603E-9
Ba136;8.7932E-7;2.1681E-7
Ba137;0.060045;0.0013995
Ba137m;0.056682;0.0014322
Ba138;0.060215;0.0019261
Ba139;0.057774;0.0027234
Ba140;0.060457;7.8052E-4
Ba141;0.057936;0.0033617
Ba142;0.04838;0.0020623
Ba143;0.046642;9.8002E-4
Ba144;0.046526;0.0010569
Ba145;0.036535;0.0017136
Ba146;0.031733;0.0014851
Ba147;0.014733;0.0010823
Ba148;0.0090062;0.0012134
