Product;;
Product;;
Product;Yield;Error
Ag126;1.3673E-6;4.5492E-7
Ag127;9.3548E-7;3.0367E-7
Ag128;1.589E-8;5.239E-9
Ag129;9.9181E-10;3.425E-10
Cd110;1.71E-11;5.1224E-12
Cd111;1.9669E-4;7.0776E-6
Cd112;1.1741E-4;8.4528E-6
Cd113;1.5641E-4;1.0168E-5
Cd113m;1.7932E-6;2.2158E-7
Cd114;1.2795E-4;7.805E-6
Cd115;1.0747E-4;7.9653E-6
Cd115m;5.1329E-6;6.1118E-7
Cd116;1.5883E-4;1.0642E-5
Cd117;9.8657E-5;1.3208E-5
Cd117m;2.9338E-5;4.5308E-6
Cd118;1.4862E-4;3.6263E-5
Cd119;1.1753E-4;1.7429E-5
Cd119m;4.0238E-5;7.9993E-6
Cd120;1.477E-4;2.3492E-5
Cd121;5.2291E-5;5.6303E-6
Cd121m;6.1967E-5;4.9615E-6
Cd122;1.493E-4;1.281E-5
Cd123;2.3287E-5;3.6645E-6
Cd123m;4.998E-5;6.8198E-6
Cd124;1.3483E-4;1.3491E-5
Cd125;3.6477E-5;6.5633E-6
Cd125m;8.5597E-5;1.3038E-5
Cd126;1.9013E-4;2.5551E-5
Cd127;1.4866E-4;3.0655E-5
Cd128;8.754E-5;2.3386E-5
Cd129;8.4958E-6;2.7316E-6
Cd129m;2.0509E-5;6.5848E-6
Cd130;1.1133E-5;3.9887E-6
Cd131;2.11E-8;7.3724E-9
In113;1.7907E-6;2.2128E-7
In115;1.0723E-4;7.9474E-6
In115m;1.0747E-4;7.9653E-6
In116;9.6944E-11;3.8178E-11
In116m;2.9251E-10;8.2634E-11
In116n;1.4392E-10;5.6676E-11
In117;7.9946E-5;1.0731E-5
In117m;9.0861E-5;1.2264E-5
In118;1.4867E-4;3.6275E-5
In118m;1.4623E-7;5.0264E-8
In118n;7.2444E-8;3.0464E-8
In119;5.7522E-5;9.6048E-6
In119m;1.0619E-4;1.597E-5
In120;1.4948E-4;2.3772E-5
In120m;1.7847E-6;6.7454E-7
In120n;1.7847E-6;6.7454E-7
In121;9.0363E-5;4.9338E-6
In121m;3.707E-5;4.4481E-6
In122;1.6226E-4;1.3631E-5
In122m;9.195E-6;3.1303E-6
In122n;9.195E-6;3.1303E-6
In123;1.0391E-4;6.793E-6
In123m;2.7627E-5;3.4426E-6
In124;1.7424E-4;1.3381E-5
In124m;3.5503E-5;8.897E-6
In125;2.0859E-4;1.2546E-5
In125m;4.3418E-5;5.8286E-6
In126;3.03E-4;2.3989E-5
In126m;1.0168E-4;2.0345E-5
In127;4.3325E-4;6.5118E-5
In127m;2.4883E-4;3.4243E-5
