Product;;
Product;;
Product;Yield;Error
In117;2.9489E-4;1.714E-5
In117m;3.1007E-4;1.906E-5
In118;4.5783E-4;3.4796E-5
In118m;2.7922E-6;7.3083E-7
In118n;1.3833E-6;5.0248E-7
In119;2.2745E-4;2.5979E-5
In119m;2.689E-4;2.7993E-5
In120;3.8955E-4;6.5162E-5
In120m;1.1908E-5;4.8702E-6
In120n;1.1908E-5;4.8702E-6
In121;3.0601E-4;2.7651E-4
In121m;1.3259E-4;1.2309E-4
In122;5.286E-4;3.3474E-5
In122m;6.0916E-5;1.546E-5
In122n;6.0916E-5;1.546E-5
In123;3.0451E-4;6.3967E-4
In123m;9.0498E-5;1.9366E-4
In124;8.1544E-4;6.6223E-5
In124m;2.4708E-4;4.6403E-5
In125;6.5961E-4;1.2235E-4
In125m;1.45E-4;3.3601E-5
In126;7.9001E-4;1.1692E-4
In126m;5.4546E-4;1.0753E-4
In127;0.0011606;2.6456E-4
In127m;3.5247E-4;7.8373E-5
In128;4.9375E-4;1.3731E-4
In128m;1.6479E-4;5.4639E-5
In128n;4.1694E-4;1.608E-4
In129;5.4612E-4;2.0299E-4
In129m;1.2751E-4;4.8162E-5
In130;6.5391E-5;2.4222E-5
In130m;7.2919E-5;2.7046E-5
In130n;1.2407E-4;4.5931E-5
In131;1.8307E-5;6.6833E-6
In131m;1.812E-5;6.6829E-6
In131n;1.812E-5;6.6829E-6
In132;1.0955E-6;4.1073E-7
In133;3.4185E-8;1.0802E-8
In133m;6.4199E-9;2.4318E-9
Sn114;8.6409E-11;1.851E-11
Sn115;1.7362E-5;1.6169E-6
Sn116;7.5876E-8;1.6473E-8
Sn117;4.5891E-4;2.4322E-5
Sn117m;1.0052E-6;8.5551E-8
Sn118;4.6067E-4;3.5011E-5
Sn119;4.8165E-4;3.7569E-5
Sn119m;2.0576E-4;2.4572E-5
Sn120;4.1782E-4;6.9756E-5
Sn121;4.3458E-4;3.9026E-4
Sn121m;3.9152E-5;3.6729E-5
Sn122;6.9148E-4;3.8032E-5
Sn123;4.5706E-5;9.9011E-5
Sn123m;3.8111E-4;7.9791E-4
Sn124;0.0012601;7.4348E-5
Sn125;3.0646E-4;7.0322E-5
Sn125m;7.7398E-4;1.3654E-4
Sn126;0.0029183;3.8924E-5
Sn127;0.0028625;1.7246E-4
Sn127m;0.0020566;1.648E-4
Sn128;0.0078477;3.8793E-4
Sn128m;0.0052784;3.3949E-4
Sn129;0.0029473;4.0677E-4
Sn129m;0.0056871;7.2316E-4
Sn130;0.0026499;5.5572E-4
Sn130m;0.0058988;0.0011269
Sn131;0.0012649;4.0991E-4
Sn131m;0.0029878;9.4273E-4
Sn132;0.0016372;5.9708E-4
Sn133;1.4319E-4;5.422E-5
Sn134;1.2135E-5;4.5513E-6
Sn135;2.2455E-7;8.3718E-8
Sn136;5.1475E-9;1.8914E-9
Sb119;9.2346E-11;2.8011E-11
Sb119m;2.2274E-11;8.3821E-12
Sb120;1.0562E-9;4.6154E-10
Sb120m;1.4987E-9;6.5491E-10
Sb121;4.4335E-4;3.9813E-4
Sb122;1.5991E-11;4.1685E-12
Sb122m;8.496E-12;3.0911E-12
Sb123;4.2891E-4;8.9769E-4
Sb124;5.8401E-6;1.2672E-6
Sb124m;4.472E-6;1.1604E-6
Sb124n;2.571E-6;9.2256E-7
